result_id,trial_id,trial_name,data_source,analysis_population,arm_id_unq,comparison_id,arm_description,comparison_label,outcome,outcome_definition,result_description,result_type,result,dispersion_type,dispersion,median_follow_up,max_follow_up,timepoint_unit,notes
mace00227,NCT00790205,TECOS,results paper,itt,NA,compb0146,NA,sitagliptin_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",between arm comparison,hazard ratio,0.99,95%ci,0.89;1.10,3,5,years,NA
mace00230,NCT00790205,TECOS,results paper,itt,NA,compb0146,NA,sitagliptin_placebo,CV mortality,NA,between arm comparison,hazard ratio,1.03,95%ci,0.89;1.19,3,5,years,NA
mace00233,NCT00790205,TECOS,results paper,itt,NA,compb0146,NA,sitagliptin_placebo,Fatal or nonfatal MI,NA,between arm comparison,hazard ratio,0.95,95%ci,0.81;1.11,3,5,years,NA
mace00236,NCT00790205,TECOS,results paper,itt,NA,compb0146,NA,sitagliptin_placebo,Fatal or nonfatal stroke,NA,between arm comparison,hazard ratio,0.97,95%ci,0.79;1.19,3,5,years,NA
mace00239,NCT00790205,TECOS,results paper,itt,NA,compb0146,NA,sitagliptin_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,1,95%ci,0.83;1.2,3,5,years,NA
mace00228,NCT00790205,TECOS,results paper,itt,uaa10359,NA,sitagliptin,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",events per 100 patient-years,rate,3.58,NA,NA,3,5,years,NA
mace00229,NCT00790205,TECOS,results paper,itt,uaa10358,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",events per 100 patient-years,rate,3.62,NA,NA,3,5,years,NA
mace00231,NCT00790205,TECOS,results paper,itt,uaa10359,NA,sitagliptin,NA,CV mortality,NA,events per 100 patient-years,rate,1.72,NA,NA,3,5,years,NA
mace00232,NCT00790205,TECOS,results paper,itt,uaa10358,NA,placebo,NA,CV mortality,NA,events per 100 patient-years,rate,1.67,NA,NA,3,5,years,NA
mace00234,NCT00790205,TECOS,results paper,itt,uaa10359,NA,sitagliptin,NA,Fatal or nonfatal MI,NA,events per 100 patient-years,rate,1.42,NA,NA,3,5,years,NA
mace00235,NCT00790205,TECOS,results paper,itt,uaa10358,NA,placebo,NA,Fatal or nonfatal MI,NA,events per 100 patient-years,rate,1.51,NA,NA,3,5,years,NA
mace00237,NCT00790205,TECOS,results paper,itt,uaa10359,NA,sitagliptin,NA,Fatal or nonfatal stroke,NA,events per 100 patient-years,rate,0.83,NA,NA,3,5,years,NA
mace00238,NCT00790205,TECOS,results paper,itt,uaa10358,NA,placebo,NA,Fatal or nonfatal stroke,NA,events per 100 patient-years,rate,0.87,NA,NA,3,5,years,NA
mace00240,NCT00790205,TECOS,results paper,itt,uaa10359,NA,sitagliptin,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1.07,NA,NA,3,5,years,NA
mace00241,NCT00790205,TECOS,results paper,itt,uaa10358,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,1.09,NA,NA,3,5,years,NA
mace00043,NCT00968708,EXAMINE,results paper,NA,NA,compb0147,NA,alogliptin_placebo,Percentage of participants with MACE outcome,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.96,97.5% ci one sided,<=1.16,18,40,months,NA
mace00044,NCT00968708,EXAMINE,results paper,NA,NA,compb0147,NA,alogliptin_placebo,CV mortality,NA,between arm comparison,hazard ratio,0.79,95%ci,0.60;1.04,18,40,months,NA
mace00045,NCT00968708,EXAMINE,results paper,NA,NA,compb0147,NA,alogliptin_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,1.08,95%ci,0.88;1.33,18,40,months,NA
mace00046,NCT00968708,EXAMINE,results paper,NA,NA,compb0147,NA,alogliptin_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,0.91,95%ci,0.55;1.5,18,40,months,NA
mace00242,NCT00968708,EXAMINE,ctg,itt,uaa10454,NA,placebo,NA,Percentage of participants with MACE outcome,"CV mortality, nonfatal MI or nonfatal stroke",percentage of participants,percentage,11.8,NA,NA,18,40,months,n=2679
mace00243,NCT00968708,EXAMINE,ctg,itt,uaa10453,NA,alogliptin,NA,Percentage of participants with MACE outcome,"CV mortality, nonfatal MI or nonfatal stroke",percentage of participants,percentage,11.3,NA,NA,18,40,months,n=2701
mace00018,NCT01032629,CANVAS,paper supp appendix,itt,NA,compb0148,NA,canagliflozin_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,0.88,95%ci,0.75;1.03,295.9,416,weeks,NA
mace00021,NCT01032629,CANVAS,paper supp appendix,itt,NA,compb0148,NA,canagliflozin_placebo,CV mortality,NA,between arm comparison,hazard ratio,0.88,95%ci,0.7;1.10,295.9,416,weeks,NA
mace00024,NCT01032629,CANVAS,paper supp appendix,itt,NA,compb0148,NA,canagliflozin_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,0.85,95%ci,0.65;1.11,295.9,416,weeks,NA
mace00027,NCT01032629,CANVAS,paper supp appendix,itt,NA,compb0148,NA,canagliflozin_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,0.97,95%ci,0.7;1.35,295.9,416,weeks,NA
mace00030,NCT01032629,CANVAS,paper supp appendix,itt,NA,compb0148,NA,canagliflozin_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,0.77,95%ci,0.55;1.08,295.9,416,weeks,NA
mace00016,NCT01032629,CANVAS,paper supp appendix,itt,uaa10513,NA,canagliflozin (pooled),NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 1000 patient-years,rate,26.89,NA,NA,295.9,416,weeks,NA
mace00017,NCT01032629,CANVAS,paper supp appendix,itt,uaa10515,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or nonfatal stroke",events per 1000 patient-years,rate,30.36,NA,NA,295.9,416,weeks,NA
mace00019,NCT01032629,CANVAS,paper supp appendix,itt,uaa10513,NA,canagliflozin (pooled),NA,CV mortality,NA,events per 1000 patient-years,rate,12.15,NA,NA,295.9,416,weeks,NA
mace00020,NCT01032629,CANVAS,paper supp appendix,itt,uaa10515,NA,placebo,NA,CV mortality,NA,events per 1000 patient-years,rate,13.73,NA,NA,295.9,416,weeks,NA
mace00022,NCT01032629,CANVAS,paper supp appendix,itt,uaa10513,NA,canagliflozin (pooled),NA,Nonfatal MI,NA,events per 1000 patient-years,rate,9.44,NA,NA,295.9,416,weeks,NA
mace00023,NCT01032629,CANVAS,paper supp appendix,itt,uaa10515,NA,placebo,NA,Nonfatal MI,NA,events per 1000 patient-years,rate,11.06,NA,NA,295.9,416,weeks,NA
mace00025,NCT01032629,CANVAS,paper supp appendix,itt,uaa10513,NA,canagliflozin (pooled),NA,Nonfatal stroke,NA,events per 1000 patient-years,rate,6.54,NA,NA,295.9,416,weeks,NA
mace00026,NCT01032629,CANVAS,paper supp appendix,itt,uaa10515,NA,placebo,NA,Nonfatal stroke,NA,events per 1000 patient-years,rate,6.72,NA,NA,295.9,416,weeks,NA
mace00028,NCT01032629,CANVAS,paper supp appendix,itt,uaa10513,NA,canagliflozin (pooled),NA,Hospitalisation for heart failure,NA,events per 1000 patient-years,rate,5.19,NA,NA,295.9,416,weeks,NA
mace00029,NCT01032629,CANVAS,paper supp appendix,itt,uaa10515,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 1000 patient-years,rate,6.71,NA,NA,295.9,416,weeks,NA
mace00244,NCT01107886,SAVOR-TIMI-53,ctg,itt,uaa10587,NA,saxagliptin,NA,MACE occurrence,"CV mortality, nonfatal MI or nonfatal stroke",events,count,613,NA,NA,2.1,2.9,years,n=8280
mace00245,NCT01107886,SAVOR-TIMI-53,ctg,itt,uaa10586,NA,placebo,NA,MACE occurrence,"CV mortality, nonfatal MI or nonfatal stroke",events,count,609,NA,NA,2.1,2.9,years,n=8212
mace00222,NCT01107886,SAVOR-TIMI-53,results paper,itt,NA,compb0149,NA,saxaliptin_placebo,MACE occurrence,"CV mortality, nonfatal MI or nonfatal stroke",between arm comparison,hazard ratio,1,95%ci,0.89;1.12,2.1,2.9,years,NA
mace00223,NCT01107886,SAVOR-TIMI-53,results paper,itt,NA,compb0149,NA,saxaliptin_placebo,CV mortality,NA,between arm comparison,hazard ratio,1.03,95%ci,0.87;1.22,2.1,2.9,years,NA
mace00224,NCT01107886,SAVOR-TIMI-53,results paper,itt,NA,compb0149,NA,saxaliptin_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,1.27,95%ci,1.07;1.51,2.1,2.9,years,NA
mace00225,NCT01107886,SAVOR-TIMI-53,results paper,itt,NA,compb0149,NA,saxaliptin_placebo,Fatal or nonfatal MI,NA,between arm comparison,hazard ratio,0.95,95%ci,0.80;1.12,2.1,2.9,years,NA
mace00226,NCT01107886,SAVOR-TIMI-53,results paper,itt,NA,compb0149,NA,saxaliptin_placebo,Fatal or nonfatal ischaemic stroke,NA,between arm comparison,hazard ratio,1.11,95%ci,0.96;1.27,2.1,2.9,years,NA
mace00207,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,NA,compb0150,NA,empagliflozin_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",between arm comparison,hazard ratio,0.86,95%ci,0.74;0.99,3.1,4.6,years,NA
mace00210,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,NA,compb0150,NA,empagliflozin_placebo,CV mortality,NA,between arm comparison,hazard ratio,0.62,95%ci,0.49;0.77,3.1,4.6,years,NA
mace00213,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,NA,compb0150,NA,empagliflozin_placebo,Nonfatal MI,NA,between arm comparison,hazard ratio,0.87,95%ci,0.70;1.09,3.1,4.6,years,NA
mace00216,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,NA,compb0150,NA,empagliflozin_placebo,Nonfatal stroke,NA,between arm comparison,hazard ratio,1.24,95%ci,0.92;1.67,3.1,4.6,years,NA
mace00219,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,NA,compb0150,NA,empagliflozin_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,0.65,95%ci,0.5;0.85,3.1,4.6,years,NA
mace00208,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10605,NA,empagliflozin,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",events per 1000 patient-years,rate,37.4,NA,NA,3.1,4.6,years,NA
mace00209,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10607,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI, nonfatal stroke or unstable angina",events per 1000 patient-years,rate,43.9,NA,NA,3.1,4.6,years,NA
mace00211,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10605,NA,empagliflozin,NA,CV mortality,NA,events per 1000 patient-years,rate,12.4,NA,NA,3.1,4.6,years,NA
mace00212,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10607,NA,placebo,NA,CV mortality,NA,events per 1000 patient-years,rate,20.2,NA,NA,3.1,4.6,years,NA
mace00214,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10605,NA,empagliflozin,NA,Nonfatal MI,NA,events per 1000 patient-years,rate,16,NA,NA,3.1,4.6,years,NA
mace00215,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10607,NA,placebo,NA,Nonfatal MI,NA,events per 1000 patient-years,rate,18.5,NA,NA,3.1,4.6,years,NA
mace00217,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10605,NA,empagliflozin,NA,Nonfatal stroke,NA,events per 1000 patient-years,rate,11.2,NA,NA,3.1,4.6,years,NA
mace00218,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10607,NA,placebo,NA,Nonfatal stroke,NA,events per 1000 patient-years,rate,9.1,NA,NA,3.1,4.6,years,NA
mace00220,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10605,NA,empagliflozin,NA,Hospitalisation for heart failure,NA,events per 1000 patient-years,rate,9.4,NA,NA,3.1,4.6,years,NA
mace00221,NCT01131676,EMPA-REG OUTCOME,results paper,treated set,uaa10607,NA,placebo,NA,Hospitalisation for heart failure,NA,events per 1000 patient-years,rate,14.5,NA,NA,3.1,4.6,years,NA
mace00192,NCT01144338,EXSCEL,results paper,itt,NA,compb0151,NA,exenatide_placebo,Time to first occurrence of MACE,"CV mortality, nonfatal MI or fatal and nonfatal stroke",between arm comparison,hazard ratio,0.91,95%ci,0.83;1.00,3.2,7.5,years,NA
mace00195,NCT01144338,EXSCEL,results paper,itt,NA,compb0151,NA,exenatide_placebo,CV mortality,NA,between arm comparison,hazard ratio,0.88,95%ci,0.76;1.02,3.2,7.5,years,NA
mace00198,NCT01144338,EXSCEL,results paper,itt,NA,compb0151,NA,exenatide_placebo,Hospitalisation for heart failure,NA,between arm comparison,hazard ratio,0.94,95%ci,0.78;1.13,3.2,7.5,years,NA
mace00201,NCT01144338,EXSCEL,results paper,itt,NA,compb0151,NA,exenatide_placebo,Fatal or nonfatal MI,NA,between arm comparison,hazard ratio,0.97,95%ci,0.85;1.10,3.2,7.5,years,NA
mace00204,NCT01144338,EXSCEL,results paper,itt,NA,compb0151,NA,exenatide_placebo,Fatal or nonfatal stroke,NA,between arm comparison,hazard ratio,0.85,95%ci,0.7;1.03,3.2,7.5,years,NA
mace00193,NCT01144338,EXSCEL,results paper,itt,uaa10617,NA,exenatide,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or fatal and nonfatal stroke",events per 100 patient-years,rate,3.7,NA,NA,3.2,7.5,years,NA
mace00194,NCT01144338,EXSCEL,results paper,itt,uaa10618,NA,placebo,NA,Time to first occurrence of MACE,"CV mortality, nonfatal MI or fatal and nonfatal stroke",events per 100 patient-years,rate,4,NA,NA,3.2,7.5,years,NA
mace00196,NCT01144338,EXSCEL,results paper,itt,uaa10617,NA,exenatide,NA,CV mortality,NA,events per 100 patient-years,rate,1.4,NA,NA,3.2,7.5,years,NA
mace00197,NCT01144338,EXSCEL,results paper,itt,uaa10618,NA,placebo,NA,CV mortality,NA,events per 100 patient-years,rate,1.5,NA,NA,3.2,7.5,years,NA
mace00199,NCT01144338,EXSCEL,results paper,itt,uaa10617,NA,exenatide,NA,Hospitalisation for heart failure,NA,events per 100 patient-years,rate,0.9,NA,NA,3.2,7.5,years,NA
