nct_id,nct_id2,models,row,col,r
NCT00819091,NCT00819091,b1,(Intercept),sex,-0.757
NCT00819091,NCT00819091,b1,(Intercept),age10,-0.981
NCT00819091,NCT00819091,b1,sex,age10,0.743
NCT00819091,NCT00819091,b1,(Intercept),"arm_f_2_Linagliptin, 5 mg tablet",-0.791
NCT00819091,NCT00819091,b1,sex,"arm_f_2_Linagliptin, 5 mg tablet",0.599
NCT00819091,NCT00819091,b1,age10,"arm_f_2_Linagliptin, 5 mg tablet",0.776
NCT00819091,NCT00819091,b1,(Intercept),sex:age10,0.741
NCT00819091,NCT00819091,b1,sex,sex:age10,-0.983
NCT00819091,NCT00819091,b1,age10,sex:age10,-0.755
NCT00819091,NCT00819091,b1,"arm_f_2_Linagliptin, 5 mg tablet",sex:age10,-0.586
NCT00819091,NCT00819091,b1,(Intercept),"sex:arm_f_2_Linagliptin, 5 mg tablet",0.601
NCT00819091,NCT00819091,b1,sex,"sex:arm_f_2_Linagliptin, 5 mg tablet",-0.795
NCT00819091,NCT00819091,b1,age10,"sex:arm_f_2_Linagliptin, 5 mg tablet",-0.59
NCT00819091,NCT00819091,b1,"arm_f_2_Linagliptin, 5 mg tablet","sex:arm_f_2_Linagliptin, 5 mg tablet",-0.76
NCT00819091,NCT00819091,b1,sex:age10,"sex:arm_f_2_Linagliptin, 5 mg tablet",0.781
NCT00819091,NCT00819091,b1,(Intercept),"age10:arm_f_2_Linagliptin, 5 mg tablet",0.781
NCT00819091,NCT00819091,b1,sex,"age10:arm_f_2_Linagliptin, 5 mg tablet",-0.591
NCT00819091,NCT00819091,b1,age10,"age10:arm_f_2_Linagliptin, 5 mg tablet",-0.796
NCT00819091,NCT00819091,b1,"arm_f_2_Linagliptin, 5 mg tablet","age10:arm_f_2_Linagliptin, 5 mg tablet",-0.984
NCT00819091,NCT00819091,b1,sex:age10,"age10:arm_f_2_Linagliptin, 5 mg tablet",0.6
