nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT00819091,NCT00819091,b1,(Intercept),9.422,0.758,12.434,1.735e-27
NCT00819091,NCT00819091,b1,sex,-1.375,1.001,-1.373,0.171
NCT00819091,NCT00819091,b1,age10,-0.131,0.133,-0.988,0.324
NCT00819091,NCT00819091,b1,"arm_f_2_Linagliptin, 5 mg tablet",0.552,0.958,0.576,0.5649
NCT00819091,NCT00819091,b1,sex:age10,0.221,0.176,1.259,0.2093
NCT00819091,NCT00819091,b1,"sex:arm_f_2_Linagliptin, 5 mg tablet",0.464,1.26,0.369,0.7128
NCT00819091,NCT00819091,b1,"age10:arm_f_2_Linagliptin, 5 mg tablet",-0.114,0.167,-0.684,0.4948
NCT00819091,NCT00819091,b1,"sex:age10:arm_f_2_Linagliptin, 5 mg tablet",-0.051,0.219,-0.231,0.8177
NCT00800683,NCT00800683,b1,(Intercept),10.738,1.051,10.217,4.402e-18
NCT00800683,NCT00800683,b1,sex,-1.875,1.399,-1.341,0.1825
NCT00800683,NCT00800683,b1,age10,-0.344,0.162,-2.126,0.03552
NCT00800683,NCT00800683,b1,arm_f_2_Placebo,-1.653,1.886,-0.876,0.3826
NCT00800683,NCT00800683,b1,sex:age10,0.211,0.215,0.979,0.3297
NCT00800683,NCT00800683,b1,sex:arm_f_2_Placebo,2.242,2.321,0.966,0.3359
NCT00800683,NCT00800683,b1,age10:arm_f_2_Placebo,0.212,0.283,0.749,0.4551
NCT00800683,NCT00800683,b1,sex:age10:arm_f_2_Placebo,-0.264,0.352,-0.752,0.4538
NCT00740051,NCT00740051,b1,(Intercept),9.415,0.778,12.096,3.931e-26
NCT00740051,NCT00740051,b1,sex,-0.608,1.311,-0.463,0.6435
NCT00740051,NCT00740051,b1,age10,-0.227,0.135,-1.684,0.0937
NCT00740051,NCT00740051,b1,"arm_f_2_Linagliptin, 5mg tablet",-0.267,0.92,-0.291,0.7717
NCT00740051,NCT00740051,b1,sex:age10,0.085,0.228,0.372,0.7103
NCT00740051,NCT00740051,b1,"sex:arm_f_2_Linagliptin, 5mg tablet",-1.352,1.574,-0.858,0.3916
NCT00740051,NCT00740051,b1,"age10:arm_f_2_Linagliptin, 5mg tablet",0.041,0.159,0.258,0.7964
NCT00740051,NCT00740051,b1,"sex:age10:arm_f_2_Linagliptin, 5mg tablet",0.275,0.275,0.999,0.3189
NCT00996658,NCT00996658,b1,(Intercept),9.156,0.884,10.361,2.483e-21
NCT00996658,NCT00996658,b1,sex,-1.086,1.187,-0.914,0.3614
NCT00996658,NCT00996658,b1,age10,-0.117,0.163,-0.719,0.4727
NCT00996658,NCT00996658,b1,arm_f_2_Linagliptin 5 mg tablet,-1.155,0.988,-1.17,0.2432
NCT00996658,NCT00996658,b1,sex:age10,0.181,0.214,0.845,0.3987
NCT00996658,NCT00996658,b1,sex:arm_f_2_Linagliptin 5 mg tablet,2.093,1.375,1.522,0.1293
