nct_id,arm_id_unq,sex,participants,mean,sd,Number of quantiles,epsilon,Age (years) at quantiles (%)
NCT00688701,_1_placebo,female,62,51.9,10.7,6,0.04500000000000002,"0=31, 38=51, 46=53, 54=53, 89=62, 100=81"
NCT00688701,_1_placebo,male,60,56.2,11,5,0.06900000000000005,"0=33, 15=46, 54=60, 85=65, 100=85"
NCT00688701,_2_Lixisenatide 1-step titration,female,56,55.1,12.1,5,0.07700000000000005,"0=20, 15=44, 29=51, 82=63, 100=82"
NCT00688701,_2_Lixisenatide 1-step titration,male,63,52.6,9.6,5,0.08200000000000006,"0=32, 31=50, 61=54, 82=60, 100=75"
NCT00688701,_2_Lixisenatide 2-step titration,female,57,54.3,9.6,6,0.04500000000000002,"0=34, 23=49, 30=49, 38=53, 89=64, 100=78"
NCT00688701,_2_Lixisenatide 2-step titration,male,63,52.3,9.8,6,0.08200000000000006,"0=21, 5=39, 21=46, 39=48, 89=63, 100=73"
NCT00707031,_1_Exenatide BID,female,129,57.2,10.6,5,0.05600000000000003,"0=27, 10=44, 36=56, 83=66, 100=78"
NCT00707031,_1_Exenatide BID,male,187,58,10.4,5,0.06200000000000004,"0=30, 13=47, 32=54, 76=64, 100=83"
NCT00707031,_2_Lixisenatide QD,female,167,56.7,9.4,8,0.06600000000000004,"0=29, 11=47, 21=51, 28=51, 43=55, 51=55, 84=65, 100=84"
NCT00707031,_2_Lixisenatide QD,male,151,57.9,9,6,0.04600000000000003,"0=34, 3=43, 13=49, 83=66, 94=71, 100=79"
NCT00712673,_1_placebo,female,89,54.3,9.3,6,0.05200000000000003,"0=25, 14=46, 58=57, 68=57, 78=60, 100=76"
NCT00712673,_1_placebo,male,81,55.7,9.5,6,0.04800000000000003,"0=35, 19=49, 35=54, 43=54, 73=61, 100=73"
NCT00712673,_2_Lixisenatide evening,female,141,55.2,9.1,8,0.04400000000000002,"0=30, 14=47, 44=53, 49=56, 55=56, 64=58, 86=64, 100=78"
NCT00712673,_2_Lixisenatide evening,male,114,54.2,11.7,6,0.04500000000000002,"0=23, 11=42, 58=55, 69=61, 88=66, 100=87"
NCT00712673,_2_Lixisenatide morning,female,157,53.4,8.7,13,0.04100000000000002,"0=33, 18=46, 24=48, 31=48, 48=54, 53=55, 58=55, 58=56, 63=56, 71=59, 75=59, 87=62, 100=74"
NCT00712673,_2_Lixisenatide morning,male,98,56.2,9.7,5,0.07300000000000005,"0=35, 34=54, 76=64, 89=65, 100=81"
NCT00713830,_1_Placebo,female,136,58.5,8.8,5,0.08200000000000006,"0=38, 13=49, 34=56, 70=62, 100=78"
NCT00713830,_1_Placebo,male,150,57.1,11.1,5,0.04800000000000003,"0=20, 9=43, 44=57, 72=63, 100=77"
NCT00713830,_2_Lixisenatide,female,289,57.3,9.3,5,0.05600000000000003,"0=27, 13=47, 34=55, 85=66, 100=79"
NCT00713830,_2_Lixisenatide,male,284,56.6,10.4,5,0.05400000000000003,"0=25, 12=45, 40=55, 77=64, 100=78"
NCT00715624,_1_Placebo,female,85,56.4,9.9,5,0.06600000000000004,"0=33, 21=49, 35=54, 81=64, 100=74"
NCT00715624,_1_Placebo,male,82,57.5,9.7,5,0.07500000000000005,"0=29, 10=46, 37=56, 81=65, 100=81"
NCT00715624,_2_Lixisenatide,female,182,57.2,8.8,8,0.06200000000000004,"0=34, 19=51, 44=57, 51=57, 52=58, 59=58, 82=64, 100=80"
NCT00715624,_2_Lixisenatide,male,146,57.6,10.2,5,0.07500000000000005,"0=34, 15=47, 41=57, 87=68, 100=80"
NCT00740051,_1_Placebo SLASH Glimepiride,female,43,56.8,10.5,5,0.05400000000000003,"0=36, 19=49, 64=59, 71=65, 100=75"
NCT00740051,_1_Placebo SLASH Glimepiride,male,33,56.6,8.8,5,0.09500000000000008,"0=41, 22=51, 44=53, 97=69, 100=79"
NCT00740051,"_2_Linagliptin, 5mg tablet",female,97,56.7,11,9,0.05200000000000003,"0=20, 14=47, 31=53, 40=53, 48=55, 65=62, 71=62, 74=63, 100=80"
NCT00740051,"_2_Linagliptin, 5mg tablet",male,54,55.8,9.9,5,0.05800000000000004,"0=36, 8=44, 32=48, 51=54, 100=75"
NCT00763451,_1_placebo,female,88,58.3,9.4,5,0.05900000000000004,"0=29, 13=50, 55=60, 63=60, 100=76"
NCT00763451,_1_placebo,male,72,58.1,10.4,5,0.07200000000000005,"0=32, 14=48, 54=60, 72=62, 100=79"
NCT00763451,_2_Lixisenatide 1-step titration,female,90,56,9.5,5,0.08800000000000006,"0=37, 17=47, 53=59, 82=64, 100=73"
NCT00763451,_2_Lixisenatide 1-step titration,male,71,54.6,8.2,5,0.08200000000000006,"0=34, 17=47, 47=57, 93=63, 100=69"
NCT00763451,_2_Lixisenatide 2-step titration,female,89,54.9,9.5,6,0.06200000000000004,"0=24, 16=48, 38=54, 49=55, 90=64, 100=73"
NCT00763451,_2_Lixisenatide 2-step titration,male,72,54.3,8.2,6,0.05800000000000004,"0=32, 10=45, 24=47, 61=58, 93=64, 100=71"
NCT00763815,_1_Placebo,female,79,53.9,9.2,5,0.09100000000000008,"0=28, 5=42, 45=54, 69=57, 100=72"
NCT00763815,_1_Placebo,male,82,56.7,9.5,8,0.05700000000000004,"0=29, 4=42, 14=47, 33=53, 40=53, 59=61, 95=69, 100=77"
NCT00763815,_2_Lixisenatide,female,151,55.6,9.9,5,0.06600000000000004,"0=30, 21=49, 74=60, 87=66, 100=82"
NCT00763815,_2_Lixisenatide,male,172,56.3,9.1,5,0.05900000000000004,"0=26, 14=49, 74=61, 92=68, 100=77"
NCT00800683,_1_Linagliptin,female,22,63.8,12.8,5,0.08800000000000006,"0=32, 24=60, 57=71, 67=71, 100=79"
NCT00800683,_1_Linagliptin,male,45,64.2,10.1,7,0.06600000000000004,"0=34, 9=52, 14=54, 20=54, 23=60, 91=74, 100=79"
NCT00800683,_2_Placebo,female,29,67,7.7,5,0.09100000000000008,"0=53, 18=60, 43=63, 46=68, 100=80"
NCT00800683,_2_Placebo,male,34,63.8,10.8,5,0.05800000000000004,"0=35, 18=56, 24=56, 45=65, 100=79"
NCT00819091,_1_Placebo tablet,female,30,56.1,11.2,6,0.06500000000000004,"0=31, 17=50, 24=50, 31=54, 90=67, 100=78"
NCT00819091,_1_Placebo tablet,male,51,56,9.8,5,0.08500000000000006,"0=37, 24=50, 60=61, 86=64, 100=79"
NCT00819091,"_2_Linagliptin, 5 mg tablet",female,82,57.4,8.8,6,0.03900000000000002,"0=38, 16=49, 57=60, 63=60, 85=66, 100=75"
NCT00819091,"_2_Linagliptin, 5 mg tablet",male,75,57.2,11,5,0.07800000000000006,"0=27, 8=43, 39=56, 88=69, 100=77"
NCT00866658,_1_Placebo 2-step titration,female,77,58.5,9.9,5,0.06700000000000005,"0=29, 18=51, 53=61, 84=66, 100=81"
NCT00866658,_1_Placebo 2-step titration,male,80,57.5,10.4,5,0.08500000000000006,"0=29, 27=53, 58=59, 96=71, 100=78"
NCT00866658,_2_Lixisenatide 2-step titration,female,85,59.4,10.3,5,0.11100000000000008,"0=25, 8=49, 33=58, 81=67, 100=81"
NCT00866658,_2_Lixisenatide 2-step titration,male,69,58,10.1,6,0.06000000000000004,"0=37, 32=55, 59=60, 79=68, 93=70, 100=79"
NCT00975286,_1_PLACEBO PLUS INSULIN BASAL,female,110,55.9,10.2,5,0.08200000000000006,"0=26, 27=52, 73=61, 94=70, 100=80"
NCT00975286,_1_PLACEBO PLUS INSULIN BASAL,male,113,56.2,10.3,5,0.06200000000000004,"0=25, 12=46, 80=64, 97=73, 100=81"
NCT00975286,_2_GLP1 PLUS INSULIN BASAL,female,114,56.2,9.9,7,0.04600000000000003,"0=35, 20=49, 28=50, 32=53, 39=53, 81=64, 100=77"
NCT00975286,_2_GLP1 PLUS INSULIN BASAL,male,109,56.6,9.6,5,0.06100000000000004,"0=33, 11=46, 31=53, 86=66, 100=80"
NCT00976937,_1_Sitagliptin,female,88,43.9,4.6,5,0.05100000000000003,"0=32, 5=36, 41=44, 62=47, 100=50"
NCT00976937,_1_Sitagliptin,male,73,42.8,4.7,6,0.05500000000000003,"0=33, 40=43, 65=46, 75=46, 90=48, 100=49"
NCT00976937,_2_Lixisenatide,female,103,43.5,4.6,5,0.04100000000000002,"0=28, 6=36, 19=40, 42=44, 100=49"
NCT00976937,_2_Lixisenatide,male,55,41.4,6,5,0.06900000000000005,"0=21, 2=30, 26=38, 56=44, 100=49"
NCT00996658,_1_Placebo Tablet,female,40,53.5,8.1,5,0.06100000000000004,"0=36, 26=50, 38=51, 74=58, 100=67"
NCT00996658,_1_Placebo Tablet,male,49,56.6,8.6,7,0.06000000000000004,"0=34, 4=46, 31=51, 40=55, 46=55, 88=64, 100=77"
NCT00996658,_2_Linagliptin 5 mg tablet,female,100,53.2,10.2,5,0.06500000000000004,"0=27, 7=41, 72=60, 86=62, 100=79"
NCT00996658,_2_Linagliptin 5 mg tablet,male,83,53.1,9.2,6,0.05000000000000003,"0=34, 23=47, 38=49, 54=55, 82=60, 100=73"
NCT01084005,_1_Placebo,female,30,74.3,3.8,6,0.10300000000000008,"0=70, 38=72, 48=74, 59=74, 79=76, 100=83"
NCT01084005,_1_Placebo,male,49,75.2,4.4,9,0.08500000000000006,"0=70, 6=71, 21=71, 40=74, 50=74, 52=75, 65=75, 81=77, 100=89"
NCT01084005,"_2_Linagliptin, 5mg tablet",female,46,75.1,4.5,5,0.09700000000000009,"0=70, 13=70, 38=72, 80=78, 100=86"
NCT01084005,"_2_Linagliptin, 5mg tablet",male,116,74.5,4,5,0.1220000000000001,"0=70, 25=72, 38=72, 89=78, 100=87"
NCT01087502,_1_Placebo SLASH Glimepiride,female,43,67.6,7.9,6,0.07300000000000005,"0=48, 19=62, 48=66, 57=71, 93=77, 100=81"
NCT01087502,_1_Placebo SLASH Glimepiride,male,79,64.9,10,5,0.09400000000000008,"0=39, 9=53, 33=63, 95=77, 100=85"
NCT01087502,"_2_Linagliptin, 5mg tablet",female,43,68.1,10.3,5,0.07300000000000005,"0=38, 7=55, 38=68, 86=78, 100=84"
NCT01087502,"_2_Linagliptin, 5mg tablet",male,70,66.9,8.5,5,0.07400000000000005,"0=41, 14=59, 65=72, 84=74, 100=82"
NCT01169779,_1_Placebo,female,103,57.2,9.4,5,0.06000000000000004,"0=25, 10=47, 30=55, 88=66, 100=76"
NCT01169779,_1_Placebo,male,91,52.8,11.3,5,0.05500000000000003,"0=21, 3=32, 20=46, 89=65, 100=83"
NCT01169779,_2_Lixisenatide,female,95,56.5,10.1,5,0.05600000000000003,"0=28, 14=47, 53=59, 67=61, 100=74"
