mygrp,A: Intercept,B: Main treatment effects,C: Covariates main effects and treatment interactions,D: Heterogeneity
"dual, All data, fixed, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"dual, All data, random, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"dual, All data, random, BOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"dual, All data, random, LOCF, >= 26 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"mono, All data, fixed, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"mono, All data, random, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"mono, All data, random, BOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"mono, All data, random, LOCF, >= 26 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"triple, All data, fixed, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"triple, All data, random, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"triple, All data, random, BOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"triple, All data, random, LOCF, >= 26 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"dual, IPD only, fixed, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"dual, IPD only, random, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"mono, IPD only, fixed, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"mono, IPD only, random, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"triple, IPD only, fixed, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"triple, IPD only, random, LOCF,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"dual, All data, random, f1,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"mono, All data, random, f1,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"triple, All data, random, f1,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A half-Normal prior distribution: location = 0, scale = 5, on the standard deviation."
"dual, All data, fixed, f1,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"mono, All data, fixed, f1,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
"triple, All data, fixed, f1,>= 12 weeks","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.","A Normal prior distribution: location = 0, scale = 10.",
