tosep,fixedrand,outcome,mainorinter,sg,nct_id,drug,dose,mean,se_mean,sd,x2_5_percent,x25_percent,x50_percent,x75_percent,x97_5_percent,n_eff,rhat,modelnum,network,datalevel,cls,atc2,todrop,lbl,cls_lbl
fixed_mace_nointer,fixed,mace,nointer,main,none,albiglutide,30,-0.24894855090494175,9.628656035590064e-4,0.0725418777412922,-0.39574882742919487,-0.2983822138895183,-0.24836186062400384,-0.19905292778842937,-0.10578315131770492,5676.050369825826,0.9996782699981852,m8,triple,aggipd,A10BJ,A10BJ04,NA,A10BJ04-Albiglutide 30,A10BJ-Glucagon-like peptide-1 (GLP-1) analogues
fixed_mace_nointer,fixed,mace,nointer,main,none,alogliptin,25,-0.04866117666145678,0.00109128355970584,0.08004306386125669,-0.2032002097051459,-0.10223301872662902,-0.04993814239909573,0.00450094323405219,0.11076758166552184,5379.874974331932,0.999562114630466,m8,triple,aggipd,A10BH,A10BH04,NA,A10BH04-Alogliptin 25,A10BH-Dipeptidyl peptidase 4 (DPP-4) inhibitors
fixed_mace_nointer,fixed,mace,nointer,main,none,canagliflozin,100,-0.17188093400668025,7.495346914465834e-4,0.05717445726703361,-0.2837524413402306,-0.2100898544268832,-0.17195203133205147,-0.13254349439088642,-0.06014090543079939,5818.628427273296,0.9994748181150844,m8,triple,aggipd,A10BK,A10BK02,NA,A10BK02-Canagliflozin 100,A10BK-Sodium-glucose co-transporter 2 (SGLT2) inhibitors
fixed_mace_nointer,fixed,mace,nointer,main,none,canagliflozin,300,-0.23284141838316627,0.00121997826213431,0.0896371624953984,-0.4068223606506594,-0.2910346197256162,-0.23411845191015823,-0.17360142151072794,-0.05396965810962976,5398.486452240395,0.9998525612579614,m8,triple,aggipd,A10BK,A10BK02,NA,A10BK02-Canagliflozin 300,A10BK-Sodium-glucose co-transporter 2 (SGLT2) inhibitors
fixed_mace_nointer,fixed,mace,nointer,main,none,dapagliflozin,10,-0.0728884217986387,6.829007010004914e-4,0.05334082258244598,-0.17539202879673543,-0.10780317516391941,-0.07222673041542116,-0.03807612754107864,0.03243475187483224,6101.046014678093,0.9994849903114906,m8,triple,aggipd,A10BK,A10BK01,NA,A10BK01-Dapagliflozin 10,A10BK-Sodium-glucose co-transporter 2 (SGLT2) inhibitors
fixed_mace_nointer,fixed,mace,nointer,main,none,dulaglutide,1p5,-0.12861796773970466,7.542203653322018e-4,0.0581890656475179,-0.24238180008269916,-0.16870124024638772,-0.12924410113957038,-0.08897521755344995,-0.01490649941114581,5952.3198133425285,0.99953217178855,m8,triple,aggipd,A10BJ,A10BJ05,NA,A10BJ05-Dulaglutide 1p5,A10BJ-Glucagon-like peptide-1 (GLP-1) analogues
fixed_mace_nointer,fixed,mace,nointer,main,none,efpeglenatide,4_6,-0.31235328171595944,0.00151775719792934,0.1150774298269334,-0.5410343850852984,-0.3878682138710878,-0.3120530659758315,-0.2368472615204987,-0.08764626399198455,5748.780212005814,0.9992818749014212,m8,triple,aggipd,A10BJ,A10BJ,_01,A10BJ-Efpeglenatide 4_6,A10BJ-Glucagon-like peptide-1 (GLP-1) analogues
fixed_mace_nointer,fixed,mace,nointer,main,none,empagliflozin,10,-0.16373556094023417,0.00134937517322131,0.08639280529681534,-0.33278765769935853,-0.22081044962208723,-0.16481794056642368,-0.10571175971288804,0.00391386688203207,4099.111407451983,0.999893307636838,m8,triple,aggipd,A10BK,A10BK03,NA,A10BK03-Empagliflozin 10,A10BK-Sodium-glucose co-transporter 2 (SGLT2) inhibitors
fixed_mace_nointer,fixed,mace,nointer,main,none,empagliflozin,25,-0.15363868655665386,0.00133167917434093,0.08605359554972077,-0.32333967181620377,-0.21160941106103764,-0.15243845341918288,-0.09544250367221854,0.01431506755993717,4175.79169316479,0.999712327387983,m8,triple,aggipd,A10BK,A10BK03,NA,A10BK03-Empagliflozin 25,A10BK-Sodium-glucose co-transporter 2 (SGLT2) inhibitors
fixed_mace_nointer,fixed,mace,nointer,main,none,ertugliflozin,5_15,-0.03070314756514049,8.415504300768347e-4,0.06867765596572076,-0.16416965498954117,-0.07712432273799788,-0.03087584152907836,0.01541407413967891,0.10470342842830546,6659.94488529283,0.9992603940840044,m8,triple,aggipd,A10BK,A10BK,_09,A10BK-Ertugliflozin 5_15,A10BK-Sodium-glucose co-transporter 2 (SGLT2) inhibitors
