nct_id,arm,F,M,sex_diff
NCT00968708,alogliptin,65.7,63.6,2.1000000000000014
NCT00968708,placebo,65,62.3,2.700000000000003
NCT01032629,JNJ-28431754-100 mg,63.261538461538464,61.76100628930818,1.5005321722302867
NCT01032629,JNJ-28431754-300 mg,63.87096774193548,62.50359712230216,1.36737061963332
NCT01032629,PLACEBO,64.48484848484848,62.58682634730539,1.8980221375430943
NCT01131676,BI 10773 10mg,64.09836065573771,63.45355191256831,0.6448087431693992
NCT01131676,BI 10773 25mg,65.75806451612904,64.51891891891891,1.2391455972101255
NCT01131676,Placebo,67.5,65.14622641509433,2.3537735849056673
NCT01989754,Canagliflozin,66.62857142857143,63.62068965517241,3.0078817733990206
NCT01989754,Placebo,66.79245283018868,65.11278195488721,1.6796708753014684
NCT02465515,ALBIGLUTIDE,66.9620253164557,65.58687258687259,1.3751527295831067
NCT02465515,PLACEBO,66.86666666666666,64.78827361563518,2.078393051031483
