nct_id,n,amputation,dka,gi,hypoglycaemia,sae,uti
NCT00286429,390,0,0,65/51829 (45.81 py) [16.7%],<10/58195 (1.26 py) [0.5%],21/56869 (13.49 py) [5.4%],<10/57972 (1.89 py) [0.8%]
NCT00286442,526,0,0,61/80707 (27.61 py) [11.6%],0,19/86144 (8.06 py) [3.6%],<10/86584 (1.69 py) [0.8%]
NCT00286455,329,0,0,41/49357 (30.34 py) [12.5%],0,<10/52415 (5.57 py) [2.4%],<10/52765 (2.77 py) [1.2%]
NCT00286468,500,0,0,70/74538 (34.3 py) [14%],<10/82002 (0.89 py) [0.4%],23/80470 (10.44 py) [4.6%],<10/81953 (0.89 py) [0.4%]
NCT00306384,2793,0,0,794/2348300 (12.35 py) [28.4%],<10/2949663 (0.02 py) [0.1%],461/2726778 (6.18 py) [16.5%],81/2900365 (1.02 py) [2.9%]
NCT00601250,701,0,0,73/110075 (24.22 py) [10.4%],<10/116557 (2.51 py) [1.1%],26/115095 (8.25 py) [3.7%],<10/116831 (1.25 py) [0.6%]
NCT00602472,1058,0,<10/174782 (0.42 py) [0.2%],149/160020 (34.01 py) [14.1%],218/149057 (53.42 py) [20.6%],46/171473 (9.8 py) [4.3%],<10/174521 (1.26 py) [0.6%]
NCT00621140,503,0,0,25/81880 (11.15 py) [5%],<10/84020 (0.43 py) [0.2%],17/83091 (7.47 py) [3.4%],<10/83773 (1.74 py) [0.8%]
NCT00622284,1552,0,0,320/814181 (14.36 py) [20.6%],277/826317 (12.24 py) [17.8%],210/893024 (8.59 py) [13.5%],30/962192 (1.14 py) [1.9%]
NCT00641043,389,0,0,33/60304 (19.99 py) [8.5%],<10/63290 (1.73 py) [0.8%],12/62534 (7.01 py) [3.1%],<10/63331 (0.58 py) [0.3%]
NCT00654381,561,0,0,111/156799 (25.86 py) [19.8%],<10/190254 (0.19 py) [0.2%],<10/189045 (1.55 py) [1.4%],<10/189631 (0.77 py) [0.7%]
